/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.442756, plcc: 0.4103, srcc: 0.4009, rmse: 0.5553, lr: 0.000010, time: 48.09 min
[val epoch 1/25] loss: 0.202939, plcc_v: 0.6678, srcc_v: 0.6523, rmse_v: 0.4494, lr: 0.000010, time: 10.00 min
[train epoch 2/25] loss: 0.167909, plcc: 0.7431, srcc: 0.7448, rmse: 0.4074, lr: 0.000010, time: 40.88 min
[val epoch 2/25] loss: 0.153946, plcc_v: 0.7656, srcc_v: 0.7645, rmse_v: 0.3884, lr: 0.000010, time: 8.84 min
[train epoch 3/25] loss: 0.132143, plcc: 0.8051, srcc: 0.8086, rmse: 0.3611, lr: 0.000010, time: 45.70 min
[val epoch 3/25] loss: 0.141211, plcc_v: 0.7871, srcc_v: 0.7864, rmse_v: 0.3724, lr: 0.000010, time: 11.19 min
[train epoch 4/25] loss: 0.120563, plcc: 0.8231, srcc: 0.8270, rmse: 0.3458, lr: 0.000010, time: 46.87 min
[val epoch 4/25] loss: 0.143515, plcc_v: 0.7933, srcc_v: 0.7919, rmse_v: 0.3676, lr: 0.000010, time: 10.01 min
[train epoch 5/25] loss: 0.112726, plcc: 0.8350, srcc: 0.8390, rmse: 0.3350, lr: 0.000010, time: 40.64 min
[val epoch 5/25] loss: 0.150695, plcc_v: 0.7975, srcc_v: 0.7973, rmse_v: 0.3643, lr: 0.000010, time: 9.59 min
[train epoch 6/25] loss: 0.104074, plcc: 0.8487, srcc: 0.8537, rmse: 0.3220, lr: 0.000010, time: 45.73 min
[val epoch 6/25] loss: 0.137533, plcc_v: 0.7926, srcc_v: 0.7938, rmse_v: 0.3682, lr: 0.000010, time: 10.45 min
[train epoch 7/25] loss: 0.099096, plcc: 0.8563, srcc: 0.8607, rmse: 0.3144, lr: 0.000010, time: 46.89 min
[val epoch 7/25] loss: 0.129407, plcc_v: 0.8077, srcc_v: 0.8073, rmse_v: 0.3560, lr: 0.000010, time: 10.33 min
[train epoch 8/25] loss: 0.092656, plcc: 0.8663, srcc: 0.8712, rmse: 0.3041, lr: 0.000010, time: 43.54 min
[val epoch 8/25] loss: 0.130484, plcc_v: 0.8040, srcc_v: 0.8063, rmse_v: 0.3590, lr: 0.000010, time: 8.10 min
[train epoch 9/25] loss: 0.087992, plcc: 0.8735, srcc: 0.8776, rmse: 0.2964, lr: 0.000010, time: 47.32 min
[val epoch 9/25] loss: 0.152299, plcc_v: 0.8009, srcc_v: 0.8008, rmse_v: 0.3616, lr: 0.000010, time: 13.60 min
[train epoch 10/25] loss: 0.083330, plcc: 0.8806, srcc: 0.8852, rmse: 0.2885, lr: 0.000010, time: 47.06 min
[val epoch 10/25] loss: 0.130774, plcc_v: 0.8033, srcc_v: 0.8010, rmse_v: 0.3596, lr: 0.000010, time: 7.57 min
[train epoch 11/25] loss: 0.076457, plcc: 0.8910, srcc: 0.8954, rmse: 0.2764, lr: 0.000010, time: 47.28 min
[val epoch 11/25] loss: 0.126646, plcc_v: 0.8129, srcc_v: 0.8122, rmse_v: 0.3516, lr: 0.000010, time: 11.18 min
[train epoch 12/25] loss: 0.074722, plcc: 0.8937, srcc: 0.8980, rmse: 0.2732, lr: 0.000010, time: 50.75 min
[val epoch 12/25] loss: 0.132349, plcc_v: 0.8088, srcc_v: 0.8105, rmse_v: 0.3550, lr: 0.000010, time: 9.05 min
[train epoch 13/25] loss: 0.070977, plcc: 0.8993, srcc: 0.9041, rmse: 0.2663, lr: 0.000010, time: 46.37 min
[val epoch 13/25] loss: 0.127977, plcc_v: 0.8101, srcc_v: 0.8082, rmse_v: 0.3540, lr: 0.000010, time: 9.00 min
[train epoch 14/25] loss: 0.066385, plcc: 0.9062, srcc: 0.9110, rmse: 0.2575, lr: 0.000010, time: 49.34 min
[val epoch 14/25] loss: 0.136433, plcc_v: 0.8001, srcc_v: 0.8023, rmse_v: 0.3622, lr: 0.000010, time: 13.30 min
