/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.566320, plcc: 0.3025, srcc: 0.2968, rmse: 0.5803, lr: 0.000010, time: 8.12 min
[val epoch 1/25] loss: 0.229156, plcc_v: 0.6653, srcc_v: 0.6434, rmse_v: 0.4508, lr: 0.000010, time: 1.85 min
[train epoch 2/25] loss: 0.187363, plcc: 0.7075, srcc: 0.7037, rmse: 0.4303, lr: 0.000010, time: 7.94 min
[val epoch 2/25] loss: 0.178969, plcc_v: 0.7414, srcc_v: 0.7320, rmse_v: 0.4052, lr: 0.000010, time: 0.73 min
[train epoch 3/25] loss: 0.145836, plcc: 0.7808, srcc: 0.7815, rmse: 0.3804, lr: 0.000010, time: 8.07 min
[val epoch 3/25] loss: 0.168155, plcc_v: 0.7526, srcc_v: 0.7446, rmse_v: 0.3976, lr: 0.000010, time: 0.73 min
[train epoch 4/25] loss: 0.129192, plcc: 0.8080, srcc: 0.8108, rmse: 0.3587, lr: 0.000010, time: 7.83 min
[val epoch 4/25] loss: 0.156914, plcc_v: 0.7618, srcc_v: 0.7589, rmse_v: 0.3911, lr: 0.000010, time: 0.72 min
[train epoch 5/25] loss: 0.114042, plcc: 0.8324, srcc: 0.8364, rmse: 0.3374, lr: 0.000010, time: 7.98 min
[val epoch 5/25] loss: 0.155916, plcc_v: 0.7729, srcc_v: 0.7697, rmse_v: 0.3831, lr: 0.000010, time: 0.73 min
[train epoch 6/25] loss: 0.102676, plcc: 0.8506, srcc: 0.8551, rmse: 0.3202, lr: 0.000010, time: 7.84 min
[val epoch 6/25] loss: 0.159629, plcc_v: 0.7639, srcc_v: 0.7626, rmse_v: 0.3896, lr: 0.000010, time: 0.73 min
[train epoch 7/25] loss: 0.096320, plcc: 0.8605, srcc: 0.8646, rmse: 0.3101, lr: 0.000010, time: 8.10 min
[val epoch 7/25] loss: 0.157613, plcc_v: 0.7699, srcc_v: 0.7680, rmse_v: 0.3853, lr: 0.000010, time: 0.73 min
[train epoch 8/25] loss: 0.087928, plcc: 0.8736, srcc: 0.8788, rmse: 0.2963, lr: 0.000010, time: 7.96 min
[val epoch 8/25] loss: 0.159946, plcc_v: 0.7637, srcc_v: 0.7619, rmse_v: 0.3898, lr: 0.000010, time: 0.73 min
[train epoch 9/25] loss: 0.079319, plcc: 0.8867, srcc: 0.8908, rmse: 0.2815, lr: 0.000010, time: 7.80 min
[val epoch 9/25] loss: 0.173818, plcc_v: 0.7575, srcc_v: 0.7580, rmse_v: 0.3942, lr: 0.000010, time: 0.73 min
[train epoch 10/25] loss: 0.072671, plcc: 0.8967, srcc: 0.9014, rmse: 0.2695, lr: 0.000010, time: 7.76 min
[val epoch 10/25] loss: 0.156710, plcc_v: 0.7747, srcc_v: 0.7760, rmse_v: 0.3818, lr: 0.000010, time: 0.73 min
[train epoch 11/25] loss: 0.065906, plcc: 0.9068, srcc: 0.9108, rmse: 0.2566, lr: 0.000010, time: 7.83 min
[val epoch 11/25] loss: 0.158423, plcc_v: 0.7699, srcc_v: 0.7707, rmse_v: 0.3853, lr: 0.000010, time: 0.72 min
[train epoch 12/25] loss: 0.060967, plcc: 0.9141, srcc: 0.9186, rmse: 0.2468, lr: 0.000010, time: 7.95 min
[val epoch 12/25] loss: 0.179825, plcc_v: 0.7712, srcc_v: 0.7725, rmse_v: 0.3844, lr: 0.000010, time: 0.72 min
[train epoch 13/25] loss: 0.055393, plcc: 0.9223, srcc: 0.9265, rmse: 0.2353, lr: 0.000010, time: 8.03 min
[val epoch 13/25] loss: 0.155401, plcc_v: 0.7670, srcc_v: 0.7675, rmse_v: 0.3874, lr: 0.000010, time: 0.72 min
[train epoch 14/25] loss: 0.054306, plcc: 0.9240, srcc: 0.9276, rmse: 0.2329, lr: 0.000010, time: 7.96 min
[val epoch 14/25] loss: 0.156051, plcc_v: 0.7591, srcc_v: 0.7578, rmse_v: 0.3931, lr: 0.000010, time: 0.72 min
[train epoch 15/25] loss: 0.048912, plcc: 0.9318, srcc: 0.9352, rmse: 0.2211, lr: 0.000010, time: 7.80 min
[val epoch 15/25] loss: 0.162282, plcc_v: 0.7662, srcc_v: 0.7667, rmse_v: 0.3880, lr: 0.000010, time: 0.72 min
[train epoch 16/25] loss: 0.044178, plcc: 0.9386, srcc: 0.9417, rmse: 0.2101, lr: 0.000010, time: 7.93 min
[val epoch 16/25] loss: 0.168501, plcc_v: 0.7622, srcc_v: 0.7649, rmse_v: 0.3908, lr: 0.000010, time: 0.74 min
[train epoch 17/25] loss: 0.041388, plcc: 0.9426, srcc: 0.9451, rmse: 0.2034, lr: 0.000010, time: 7.91 min
[val epoch 17/25] loss: 0.163209, plcc_v: 0.7585, srcc_v: 0.7576, rmse_v: 0.3935, lr: 0.000010, time: 0.74 min
