/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.525500, plcc: 0.4256, srcc: 0.4198, rmse: 0.5510, lr: 0.000010, time: 9.43 min
[val epoch 1/25] loss: 0.170140, plcc_v: 0.7355, srcc_v: 0.7302, rmse_v: 0.4091, lr: 0.000010, time: 2.04 min
[train epoch 2/25] loss: 0.153162, plcc: 0.7687, srcc: 0.7699, rmse: 0.3894, lr: 0.000010, time: 8.28 min
[val epoch 2/25] loss: 0.143833, plcc_v: 0.7865, srcc_v: 0.7845, rmse_v: 0.3729, lr: 0.000010, time: 0.78 min
[train epoch 3/25] loss: 0.123998, plcc: 0.8175, srcc: 0.8214, rmse: 0.3507, lr: 0.000010, time: 8.24 min
[val epoch 3/25] loss: 0.143439, plcc_v: 0.7948, srcc_v: 0.7921, rmse_v: 0.3664, lr: 0.000010, time: 0.77 min
[train epoch 4/25] loss: 0.114161, plcc: 0.8331, srcc: 0.8380, rmse: 0.3367, lr: 0.000010, time: 8.07 min
[val epoch 4/25] loss: 0.134981, plcc_v: 0.8023, srcc_v: 0.8002, rmse_v: 0.3604, lr: 0.000010, time: 0.78 min
[train epoch 5/25] loss: 0.102867, plcc: 0.8505, srcc: 0.8549, rmse: 0.3202, lr: 0.000010, time: 8.02 min
[val epoch 5/25] loss: 0.128936, plcc_v: 0.8067, srcc_v: 0.8041, rmse_v: 0.3568, lr: 0.000010, time: 0.77 min
[train epoch 6/25] loss: 0.093483, plcc: 0.8651, srcc: 0.8693, rmse: 0.3054, lr: 0.000010, time: 8.11 min
[val epoch 6/25] loss: 0.157990, plcc_v: 0.8013, srcc_v: 0.8032, rmse_v: 0.3613, lr: 0.000010, time: 0.77 min
[train epoch 7/25] loss: 0.087072, plcc: 0.8750, srcc: 0.8796, rmse: 0.2948, lr: 0.000010, time: 8.16 min
[val epoch 7/25] loss: 0.140834, plcc_v: 0.8098, srcc_v: 0.8059, rmse_v: 0.3543, lr: 0.000010, time: 0.75 min
[train epoch 8/25] loss: 0.081824, plcc: 0.8831, srcc: 0.8885, rmse: 0.2856, lr: 0.000010, time: 8.10 min
[val epoch 8/25] loss: 0.133136, plcc_v: 0.8030, srcc_v: 0.8001, rmse_v: 0.3599, lr: 0.000010, time: 0.76 min
[train epoch 9/25] loss: 0.078046, plcc: 0.8886, srcc: 0.8922, rmse: 0.2792, lr: 0.000010, time: 8.02 min
[val epoch 9/25] loss: 0.161928, plcc_v: 0.8025, srcc_v: 0.8001, rmse_v: 0.3602, lr: 0.000010, time: 0.77 min
[train epoch 10/25] loss: 0.072681, plcc: 0.8968, srcc: 0.9012, rmse: 0.2694, lr: 0.000010, time: 8.12 min
[val epoch 10/25] loss: 0.143855, plcc_v: 0.8037, srcc_v: 0.8064, rmse_v: 0.3593, lr: 0.000010, time: 0.76 min
