/home/d310/anaconda3/envs/oiqa_rjl/lib/python3.9/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
[train epoch 1/25] loss: 0.517923, plcc: 0.4255, srcc: 0.4206, rmse: 0.5510, lr: 0.000010, time: 8.39 min
[val epoch 1/25] loss: 0.167167, plcc_v: 0.7527, srcc_v: 0.7464, rmse_v: 0.3975, lr: 0.000010, time: 2.17 min
[train epoch 2/25] loss: 0.151291, plcc: 0.7728, srcc: 0.7736, rmse: 0.3864, lr: 0.000010, time: 8.28 min
[val epoch 2/25] loss: 0.136935, plcc_v: 0.7955, srcc_v: 0.7919, rmse_v: 0.3659, lr: 0.000010, time: 0.78 min
[train epoch 3/25] loss: 0.125647, plcc: 0.8149, srcc: 0.8182, rmse: 0.3529, lr: 0.000010, time: 8.03 min
[val epoch 3/25] loss: 0.132827, plcc_v: 0.8032, srcc_v: 0.8032, rmse_v: 0.3596, lr: 0.000010, time: 0.77 min
[train epoch 4/25] loss: 0.117275, plcc: 0.8283, srcc: 0.8327, rmse: 0.3412, lr: 0.000010, time: 7.91 min
[val epoch 4/25] loss: 0.129921, plcc_v: 0.8050, srcc_v: 0.8024, rmse_v: 0.3582, lr: 0.000010, time: 0.77 min
[train epoch 5/25] loss: 0.107666, plcc: 0.8430, srcc: 0.8470, rmse: 0.3275, lr: 0.000010, time: 8.06 min
[val epoch 5/25] loss: 0.131736, plcc_v: 0.8088, srcc_v: 0.8059, rmse_v: 0.3551, lr: 0.000010, time: 0.72 min
[train epoch 6/25] loss: 0.098144, plcc: 0.8579, srcc: 0.8624, rmse: 0.3129, lr: 0.000010, time: 8.16 min
[val epoch 6/25] loss: 0.156090, plcc_v: 0.8077, srcc_v: 0.8061, rmse_v: 0.3560, lr: 0.000010, time: 0.74 min
[train epoch 7/25] loss: 0.093106, plcc: 0.8657, srcc: 0.8704, rmse: 0.3048, lr: 0.000010, time: 7.93 min
[val epoch 7/25] loss: 0.143950, plcc_v: 0.8138, srcc_v: 0.8131, rmse_v: 0.3508, lr: 0.000010, time: 0.75 min
[train epoch 8/25] loss: 0.090345, plcc: 0.8700, srcc: 0.8751, rmse: 0.3002, lr: 0.000010, time: 7.92 min
[val epoch 8/25] loss: 0.145587, plcc_v: 0.8057, srcc_v: 0.8041, rmse_v: 0.3576, lr: 0.000010, time: 0.76 min
[train epoch 9/25] loss: 0.084912, plcc: 0.8783, srcc: 0.8823, rmse: 0.2911, lr: 0.000010, time: 7.92 min
[val epoch 9/25] loss: 0.154821, plcc_v: 0.8088, srcc_v: 0.8086, rmse_v: 0.3551, lr: 0.000010, time: 0.75 min
[train epoch 10/25] loss: 0.080580, plcc: 0.8849, srcc: 0.8895, rmse: 0.2836, lr: 0.000010, time: 8.01 min
[val epoch 10/25] loss: 0.132565, plcc_v: 0.8217, srcc_v: 0.8203, rmse_v: 0.3441, lr: 0.000010, time: 0.77 min
[train epoch 11/25] loss: 0.076434, plcc: 0.8911, srcc: 0.8956, rmse: 0.2762, lr: 0.000010, time: 8.16 min
[val epoch 11/25] loss: 0.125480, plcc_v: 0.8238, srcc_v: 0.8215, rmse_v: 0.3423, lr: 0.000010, time: 0.76 min
[train epoch 12/25] loss: 0.072646, plcc: 0.8968, srcc: 0.9017, rmse: 0.2694, lr: 0.000010, time: 8.24 min
